Convênios,Unidade,Aceita
HUMANIA,Largo ,SIM
BNDES,Largo ,SIM
BRADESCO CONCIERGE ,Largo ,SIM
BRADESCO AVON/ NATURA ,Largo ,SIM
CAREPLUS,Largo ,SIM
CAMPERJ,Largo ,SIM
CAMARJ ,Largo ,SIM
UNAFISCO,Largo ,SIM
AMIL ONE/ LINCX,Largo ,SIM
REAL GRANDEZA,Largo ,SIM
OMINT ,Largo ,SIM
FUNCIONAL CARD,Largo ,SIM
SULAMÉRICA,Largo ,NÃO
NOTRE DAME,Largo ,SIM
FIPEQ VIDA,Largo ,SIM
VIDALINK,Largo ,SIM
HUMANIA,Rede,SIM
BNDES,Rede,SIM
BRADESCO CONCIERGE ,Rede,SIM
BRADESCO AVON/ NATURA ,Rede,SIM
CAREPLUS,Rede,SIM
CAMPERJ,Rede,SIM
CAMARJ ,Rede,SIM
UNAFISCO,Rede,SIM
AMIL ONE/ LINCX,Rede,SIM
REAL GRANDEZA,Rede,SIM
OMINT ,Rede,SIM
FUNCIONAL CARD,Rede,SIM
SULAMÉRICA,Rede,NÃO
NOTRE DAME,Rede,SIM
FIPEQ VIDA,Rede,SIM
VIDALINK,Rede,SIM
HUMANIA,Botafogo,SIM
BNDES,Botafogo,SIM 
BRADESCO CONCIERGE ,Botafogo,SIM 
BRADESCO AVON/ NATURA ,Botafogo,SIM
CAREPLUS,Botafogo,SIM
CAMPERJ,Botafogo,SIM
CAMARJ ,Botafogo,SIM 
UNAFISCO,Botafogo,SIM
AMIL ONE/ LINCX,Botafogo,SIM
REAL GRANDEZA,Botafogo,SIM
OMINT ,Botafogo,SIM 
FUNCIONAL CARD,Botafogo,SIM
SULAMÉRICA,Botafogo,NÃO
NOTRE DAME,Botafogo,SIM
FIPEQ VIDA,Botafogo,SIM
VIDALINK,Botafogo,SIM
HUMANIA,Copa,SIM
BNDES,Copa,SIM
BRADESCO CONCIERGE ,Copa,SIM 
BRADESCO AVON/ NATURA ,Copa,SIM
CAREPLUS,Copa,SIM
CAMPERJ,Copa,SIM
CAMARJ ,Copa,SIM
UNAFISCO,Copa,SIM
AMIL ONE/ LINCX,Copa,SIM
REAL GRANDEZA,Copa,SIM
OMINT ,Copa,SIM 
FUNCIONAL CARD,Copa,SIM
SULAMÉRICA,Copa,SIM
NOTRE DAME,Copa,SIM
FIPEQ VIDA,Copa,SIM
VIDALINK,Copa,SIM
HUMANIA,Tij 45,SIM
BNDES,Tij 45,SIM 
BRADESCO CONCIERGE ,Tij 45,SIM 
BRADESCO AVON/ NATURA ,Tij 45,SIM
CAREPLUS,Tij 45,SIM
CAMPERJ,Tij 45,SIM
CAMARJ ,Tij 45,SIM 
UNAFISCO,Tij 45,SIM
AMIL ONE/ LINCX,Tij 45,SIM
REAL GRANDEZA,Tij 45,SIM
OMINT ,Tij 45,SIM
FUNCIONAL CARD,Tij 45,SIM
SULAMÉRICA,Tij 45,NÃO
NOTRE DAME,Tij 45,SIM
FIPEQ VIDA,Tij 45,SIM
VIDALINK,Tij 45,SIM
HUMANIA,Barra Americas,SIM
BNDES,Barra Americas,SIM
BRADESCO CONCIERGE ,Barra Americas,SIM 
BRADESCO AVON/ NATURA ,Barra Americas,SIM
CAREPLUS,Barra Americas,SIM
CAMPERJ,Barra Americas,SIM
CAMARJ ,Barra Americas,SIM 
UNAFISCO,Barra Americas,NÃO
AMIL ONE/ LINCX,Barra Americas,SIM
REAL GRANDEZA,Barra Americas,SIM
OMINT ,Barra Americas,SIM
FUNCIONAL CARD,Barra Americas,SIM
SULAMÉRICA,Barra Americas,NÃO
NOTRE DAME,Barra Americas,NÃO
FIPEQ VIDA,Barra Americas,SIM
VIDALINK,Barra Americas,SIM
HUMANIA,N. Iguacu,SIM
BNDES,N. Iguacu,NÃO
BRADESCO CONCIERGE ,N. Iguacu,SIM 
BRADESCO AVON/ NATURA ,N. Iguacu,SIM
CAREPLUS,N. Iguacu,NÃO
CAMPERJ,N. Iguacu,SIM
CAMARJ ,N. Iguacu,SIM 
UNAFISCO,N. Iguacu,NÃO
AMIL ONE/ LINCX,N. Iguacu,NÃO
REAL GRANDEZA,N. Iguacu,SIM
OMINT ,N. Iguacu,SIM
FUNCIONAL CARD,N. Iguacu,SIM
SULAMÉRICA,N. Iguacu,NÃO
NOTRE DAME,N. Iguacu,SIM
FIPEQ VIDA,N. Iguacu,SIM
VIDALINK,N. Iguacu,SIM
